"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"66","e00835_F",16823,16755,16620,16551,16277,16255,16226,16226,16226
"67","e00836_A",11761,11736,11661,11615,11552,11552,11552,11552,11552
"68","e00836_B",5056,5037,4834,4876,4013,4013,4012,4012,4012
"69","e00836_C",10128,10060,9869,9870,9079,9079,9079,9070,9070
"70","e00836_D",10209,10128,9850,9925,8579,8344,8326,8326,8326
"71","e00836_E",5379,5362,5343,5316,5308,5297,5297,5286,5286
"72","e00836_F",13315,13260,13111,13027,12816,12808,12808,11866,11866
"73","e00837_A",10160,10107,9994,9588,9526,9526,9515,9226,9226
"74","e00837_B",10679,10578,10405,10371,9168,9168,9153,9153,9153
"75","e00837_C",11452,11325,11186,11138,10433,10433,10366,10366,10366
"76","e00837_D",25528,25302,25186,24924,24446,24446,24225,24225,24225
"77","e00837_E",9277,9243,9142,9053,8917,8904,8901,8853,8853
"78","e00837_F",18157,18052,17865,17700,17507,17507,17445,16471,16471
"79","e00838_A",14588,14520,14301,14000,13757,13757,13706,13384,13384
"80","e00838_B",11014,10953,10800,10690,9539,9532,9532,9532,9532
"81","e00838_C",17876,17709,17579,17441,16816,16814,16603,16564,16564
"82","e00838_D",20207,19988,19909,19788,19441,19441,19431,19406,19406
"83","e00838_E",14778,14670,14606,14466,14368,14368,14368,14351,14351
"84","e00838_F",17215,17092,17018,16886,16777,16777,16319,16314,16314
"85","e00839_A",24934,24874,24800,24738,24438,24438,24236,24114,24114
"86","e00839_B",32208,32133,32074,31978,31766,31766,31566,31566,31566
"87","e00839_C",27540,27396,27329,27246,27165,27165,26943,26943,26943
"88","e00839_D",27039,26873,26795,26724,26648,26397,26366,26321,26321
"89","e00839_E",22436,22379,22349,22269,22188,22188,22178,22174,22174
"90","e00839_F",21237,21184,21150,21104,21006,20924,20898,20898,20898
"91","e00840_A",9528,9488,9309,9327,9046,8955,8955,8764,8764
"92","e00840_B",27128,27050,26960,26792,26626,26626,26282,25680,25680
"93","e00840_C",8068,7978,7758,7800,7404,7285,7271,7255,7255
"94","e00840_D",13102,13027,12801,12861,11212,11212,11180,11106,11106
"95","e00840_E",8911,8890,8760,8772,8574,8574,8566,8566,8566
"96","e00840_F",1576,1571,1486,1522,722,722,710,710,0
"97","e00904_A",18124,18088,17973,17819,17607,17607,17421,16249,16249
"98","e00904_B",9578,9551,9342,9350,8216,8216,8216,8073,8073
"99","e00904_C",19929,19830,19547,19644,19237,19237,19195,18825,18825
"100","e00904_D",18589,18477,18338,18252,17962,17562,17425,17425,17425
"101","e00904_E",21448,21378,21337,21263,21228,21228,21210,21210,21210
"102","e00904_F",17855,17800,17767,17725,17702,17702,17702,17651,17651
"103","e00905_A",18849,18787,18602,18556,18212,18212,18149,18135,18135
"104","e00905_B",15839,15803,15685,15628,15242,15235,15091,15091,15091
"105","e00905_C",20512,20377,20229,20173,19480,19480,18935,18927,18927
"106","e00905_D",18687,18573,18441,18368,18099,18099,17547,17531,17531
"107","e00905_E",15354,15301,15171,15115,14929,14929,14828,14396,14396
"108","e00905_F",15153,15105,15031,15003,14857,14857,14751,14751,14751
"109","e00906_A",10323,10290,10118,10167,9433,9433,9422,8552,8552
"110","e00906_B",18744,18680,18537,18505,18271,18203,18077,18042,18042
"111","e00906_C",11026,10945,10642,10722,9030,9030,9030,8928,8928
"112","e00906_D",19059,18940,18661,18725,18269,18269,18137,18098,18098
"113","e00906_E",9605,9562,9340,9392,9004,9004,9004,8933,8933
"114","e00906_F",13779,13725,13621,13590,13410,13379,13306,12922,12922
"115","e00907_A",16571,16540,16313,16316,15846,15846,15803,14631,14631
"116","e00907_B",18261,18194,17933,17936,17514,17514,17427,17405,17405
"117","e00907_C",20436,20322,20104,20103,19822,19769,19447,19145,19145
"118","e00907_D",19728,19603,19367,19359,18939,18876,18150,18116,18116
"119","e00907_E",13052,13004,12883,12880,12629,12608,12499,12007,12007
"120","e00907_F",18382,18323,18165,18142,17882,17882,17840,16507,16507
"121","e00908_A",3379,3349,3174,3196,2017,2017,2017,2005,2005
"122","e00908_B",18917,18875,18705,18558,18379,18379,18359,18263,18263
"123","e00908_C",8187,8110,7713,7927,6175,6175,6153,6113,6113
"124","e00908_D",23031,22903,22705,22622,22143,22143,22075,21760,21760
"125","e00908_E",15764,15729,15536,15578,15369,15369,15356,15339,15339
"126","e00908_F",10134,10095,9957,9837,9661,9658,9658,9631,9631
"127","e00909_A",14331,14303,14216,14201,14033,14033,13994,13822,13822
