"","total","spread","parent_id","curated","rank"
"ASV238",92,1,"ASV19","merged",238
"ASV239",90,1,"ASV2","merged",239
"ASV240",88,1,"ASV28","merged",240
"ASV241",86,1,"ASV1","merged",241
"ASV242",85,1,"ASV19","merged",242
"ASV243",82,1,"ASV4","merged",243
"ASV244",82,1,"ASV19","merged",244
"ASV245",80,1,"ASV245","parent",245
"ASV246",78,1,"ASV29","merged",246
"ASV247",78,1,"ASV247","parent",247
"ASV249",74,1,"ASV249","parent",249
"ASV250",73,1,"ASV1","merged",250
"ASV251",70,1,"ASV48","merged",251
"ASV252",69,1,"ASV6","merged",252
"ASV253",68,1,"ASV3","merged",253
"ASV254",68,1,"ASV35","merged",254
"ASV255",67,1,"ASV255","parent",255
"ASV256",64,1,"ASV6","merged",256
"ASV257",63,1,"ASV257","parent",257
"ASV258",62,1,"ASV258","parent",258
"ASV259",62,1,"ASV22","merged",259
"ASV260",62,1,"ASV98","merged",260
"ASV261",62,1,"ASV19","merged",261
"ASV262",60,1,"ASV85","merged",262
"ASV263",57,1,"ASV19","merged",263
"ASV264",57,1,"ASV264","parent",264
"ASV265",56,1,"ASV30","merged",265
"ASV266",56,1,"ASV15","merged",266
"ASV267",53,1,"ASV3","merged",267
"ASV268",52,1,"ASV28","merged",268
"ASV269",52,1,"ASV6","merged",269
"ASV270",51,1,"ASV15","merged",270
"ASV271",50,1,"ASV9","merged",271
"ASV272",49,1,"ASV258","merged",272
"ASV273",48,1,"ASV1","merged",273
"ASV274",47,1,"ASV2","merged",274
"ASV275",46,1,"ASV1","merged",275
"ASV276",45,1,"ASV276","parent",276
"ASV277",44,1,"ASV98","merged",277
"ASV278",43,1,"ASV247","merged",278
"ASV279",39,1,"ASV279","parent",279
"ASV280",37,1,"ASV3","merged",280
"ASV281",37,1,"ASV281","parent",281
"ASV282",37,1,"ASV3","merged",282
"ASV283",33,1,"ASV6","merged",283
"ASV284",31,1,"ASV10","merged",284
"ASV285",30,1,"ASV17","merged",285
"ASV286",29,1,"ASV3","merged",286
"ASV287",28,1,"ASV3","merged",287
"ASV288",28,1,"ASV288","parent",288
"ASV289",28,1,"ASV1","merged",289
"ASV290",27,1,"ASV102","merged",290
"ASV291",27,1,"ASV35","merged",291
"ASV292",26,1,"ASV35","merged",292
"ASV293",25,1,"ASV1","merged",293
"ASV294",24,1,"ASV1","merged",294
"ASV295",23,1,"ASV19","merged",295
"ASV296",22,1,"ASV279","merged",296
"ASV298",21,1,"ASV298","parent",298
"ASV299",21,1,"ASV4","merged",299
"ASV300",17,1,"ASV300","parent",300
"ASV302",14,1,"ASV35","merged",302
"ASV303",13,1,"ASV303","parent",303
"ASV304",11,1,"ASV304","parent",304
"ASV305",11,1,"ASV35","merged",305
"ASV306",10,1,"ASV306","parent",306
"ASV307",10,1,"ASV247","merged",307
"ASV308",9,1,"ASV308","parent",308
"ASV309",9,1,"ASV309","parent",309
"ASV310",5,1,"ASV310","parent",310
"ASV311",5,1,"ASV311","parent",311
"ASV312",5,1,"ASV108","merged",312
"ASV313",3,1,"ASV313","parent",313
"ASV314",2,1,"ASV64","merged",314
"ASV315",2,1,"ASV315","parent",315
"ASV316",2,1,"ASV316","parent",316
"ASV317",2,1,"ASV317","parent",317
"ASV318",2,1,"ASV311","merged",318
"ASV319",2,1,"ASV298","merged",319
"ASV320",2,1,"ASV102","merged",320
"ASV321",2,1,"ASV35","merged",321
"ASV322",2,1,"ASV35","merged",322
"ASV323",2,1,"ASV35","merged",323
"ASV324",2,1,"ASV35","merged",324
"ASV325",1,1,"ASV6","merged",325
"ASV326",1,1,"ASV326","parent",326
"ASV327",1,1,"ASV327","parent",327
"ASV328",1,1,"ASV35","merged",328
"ASV329",1,1,"ASV329","parent",329
